Genre,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness
Alternative,-0.006435870743147866,-0.05126057415808505,-0.03951160995730795,0.012287641382943673,0.1314798895701061
Classical music,-0.011692402994309818,0.04170914294920991,-0.04545294010211398,-0.0068265532292266255,0.0981935597066912
Country,0.006814090330372309,-0.024145139211310535,-0.06349526954596582,-0.10783833314139459,-0.07620561311440792
Dance,0.02197672111341078,0.0018518689061845456,0.07852956488577743,-0.02793117395171256,-0.0016128809460427703
Folk,0.05696774622004151,0.026657885585492345,0.02539363724424094,0.018878461099532652,0.000612548519436608
"Hiphop, Rap",-0.008500321353202885,0.013298781808764426,0.06409711024186576,-0.09497986370755133,-0.041492548807984635
Latino,0.048371488402184,0.07464653492416498,0.035823867046551654,0.08353041945482449,0.032865122746575486
Metal or Hardrock,-0.06608447344892598,-0.09649836490705901,0.02947147820987746,-0.05859231391393694,-0.02680509210213983
Music,0.06336506615301622,0.014118735142924256,0.08437537519706044,0.03407250152556289,0.04224844057568414
Musical,0.10069112926970211,0.00753422171994226,0.008562438440920134,0.07573308226129216,0.20025999739162084
Opera,-0.006818713871764965,0.07831515938528595,0.047744508457972755,-0.027137628973133408,0.1846054825454114
Pop,0.022844230547277567,0.002043058068997715,-0.014847627642219354,0.026741082687768383,-0.04097998452565536
Punk,0.016671062396844856,0.057507536371171945,9.157117532424774e-05,-0.009510378124181025,0.0412934513808829
"Reggae, Ska",0.019784176303163842,-0.009925224184086926,0.03487669769476365,-0.023052596941224926,0.02334151105113004
Rock,0.037962561435112875,-0.007353934426835376,-0.02348207439053241,0.04210814538934995,0.05875317399227268
Rock n roll,-0.0026301494397879565,-0.014332497844567102,0.039029901414508905,-0.0027021499549638984,-0.03249091204969616
Slow songs or fast songs,-0.014730202307333535,0.002057377962189972,0.032470611394218106,-0.02573688616304753,-0.04061740169198524
"Swing, Jazz",0.008747647826343592,0.036203283557370625,0.006989543298037106,-0.028455528849436185,0.11699951504936679
"Techno, Trance",-0.0017825118080983294,-0.028479495688239483,0.027330373971245568,0.023102411294209108,-0.02586379448724005
